   yearmon         1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40        41        42        43        44        45        46        47        48        49        50        51        52        53        54        55        56        57        58        59        60        61        62        63        64        65        66        67        68        69        70        71        72        73        74        75        76        77        78        79        80        81        82        83        84        85        86        87        88        89        90        91        92        93        94        95        96        97        98        99       100       101       102       103       104       105       106       107       108       109       110       111       112       113       114       115       116       117       118       119       120       121       122       123       124       125       126       127       128       129       130       131       132       133       134       135       136       137       138       139       140       141       142
    195111     6.224     0.000     0.000     0.000     4.656     1.211     0.000     0.000     0.000     0.000     6.224    97.697     0.000     0.000     0.000    70.955    20.410     0.000     0.000     0.000     0.000    97.697    20.736    14.814    17.567    18.342    19.246    23.484    19.530    22.854    16.167    19.857    20.736    23.805  -999.000  -999.000  -999.000    21.926    26.921  -999.000  -999.000  -999.000  -999.000    23.805   122.829    19.072    20.040    18.696    17.179    73.067  5903.673  5634.268  5107.354  3659.763 19799.629   105.000    72.500  5010.600    17.013     2.817    18.645     3.179   147.000 26682.035  2337.032  2957.985   116.010    -3.047   -31.854     0.017    -0.017    -0.108     0.288    -0.054     0.227  -999.000     0.587    -0.019  -999.000     0.414     3.158     8.795     0.910    11.573    11.594    19.000     4.000     7.000     0.530     0.979     0.063     0.702    -0.098     0.513    -0.309    -0.276     0.558    -0.339    -0.519     0.611    11.273     3.656    21.735    20.142    -0.014    -0.298    -0.003    -0.282    -0.068     0.310     0.699    -0.418     0.365    -0.236     3.000     1.000     0.000   524.000    -1.300  -999.000     0.703    -0.280    -1.190    -3.650  -999.000  1044.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
    195112     1.174     0.000     0.000     0.000     1.174     0.000     0.000     0.000     0.000     0.000     1.174    15.333     0.000     0.000     0.000    15.333     0.000     0.000     0.000     0.000     0.000    15.333    18.263    13.299    15.388    15.374    17.666    14.188    19.633    11.799    13.828    17.141    18.263    20.240  -999.000  -999.000  -999.000    19.934  -999.000  -999.000  -999.000  -999.000  -999.000    20.240   140.372    18.596    18.753    19.826    16.126    71.327  5485.594  5098.554  6980.679  4213.457 21167.504   275.000    65.000  4990.774    16.191     1.573    15.131     1.952   142.500 26201.000  2204.143  2781.095    88.823    26.793   -46.698     0.428    -0.471    -0.129     0.180  -999.000     0.319     0.300     0.376    -0.149  -999.000    -0.783     1.896    12.662    -0.524    11.664    12.664     6.000    11.000    14.000    -0.133     0.606    -0.042     0.406    -0.286     0.264    -0.589    -0.247     0.260    -0.481    -0.401     0.143    10.378     3.073    19.722    15.640    -0.043     1.182     0.958    -0.493     0.026     0.163     0.444    -0.390     0.267    -0.494     3.000     2.000     0.000   458.000    -1.200  -999.000     0.478    -1.680    -2.020    -3.980  -999.000  1024.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
    195201     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    15.192    13.558    16.355    13.914    15.091    12.969    19.852  -999.000    14.187    19.852    14.428  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000     0.000    18.606    19.393    18.786    17.634    72.488  5686.708  4685.091  5441.559  3732.845 19020.348   275.000    65.000  5006.774    13.228     3.279    12.800     4.358   135.500 25560.938  2164.547  2658.363   121.289    14.036   -50.086     0.045    -0.537    -0.363     0.130     0.339    -0.353    -0.066    -0.275     0.089  -999.000    -3.316    -0.059    14.590     1.747    12.837    12.779    16.000     1.000    14.000    -0.128     0.102     0.020     0.184    -0.196     0.085    -0.272    -0.486     0.043    -0.676    -0.263     0.000     9.537     2.960    17.657    14.156    -0.063     1.781     1.859    -0.113     0.109     0.143     0.028    -0.472     0.167    -1.070     4.000     0.000     0.000   407.000    -1.500  -999.000     0.419    -2.010    -2.890    -6.800  -999.000   954.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
    195202     2.005     0.000     0.000     0.000     2.005     0.000     0.000     0.000     0.000     0.000     2.005    26.436     0.000     0.000     0.000    26.436     0.000     0.000     0.000     0.000     0.000    26.436    16.618    12.617    13.946    12.841    16.069    12.540    15.062    12.925    15.404    14.684    16.618    18.386  -999.000  -999.000  -999.000    18.179  -999.000  -999.000  -999.000  -999.000  -999.000    18.386   131.191    18.639    20.259    19.737    17.190    74.013  4911.846  6341.354  5421.196  3401.899 19614.543   272.500    67.500  5055.896     5.441     7.556     3.362     7.189   140.500 25610.207  2157.733  2635.896    96.696   -11.887   -18.260    -0.462     0.179    -0.561     0.260    -0.450    -0.549    -0.187    -0.232    -0.072  -999.000    -4.290    -0.428    13.583     2.625    11.760    10.167    20.000     2.000     7.000     0.194    -0.015    -0.109    -0.026    -0.183     0.018    -0.377    -0.383    -0.030    -0.439    -0.312     0.000    13.635     5.975    17.410    13.502     0.008     1.477     1.106    -0.193    -0.129    -0.020    -0.005    -0.368     0.295    -0.795     1.000     0.000     0.000   227.000    -1.000  -999.000     0.117    -0.460    -1.440    -7.710  -999.000   862.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
    195203     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    14.009    12.923    14.720    12.186    15.471    11.217    16.716    14.454    14.684    15.702    13.658  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000     0.000    19.657    19.019    20.259    19.398    76.144  5019.601  4862.225  4625.679  3588.726 17609.730    85.000    80.000  5064.774    10.243     3.407    10.888     3.942   142.500 26278.518  2169.744  2735.913    74.085    -8.940   -33.992    -0.420    -0.204    -0.027     0.059    -0.226     0.189  -999.000     0.018     0.025  -999.000    -2.617     0.943     7.492     2.948    11.021     7.357    20.000     7.000     4.000    -0.148    -0.028    -0.182     0.008    -0.258     0.063    -0.356    -0.318    -0.103    -0.278    -0.469    -0.097    18.763    13.382    16.412    10.493     0.014     0.981     1.035    -0.170     0.075     0.008    -0.028    -0.325     0.356    -0.678     4.000     0.000     0.000   220.000     0.900  -999.000     0.047    -0.630     0.920    -6.990  -999.000   785.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
    195204     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    14.778    14.229    14.029    14.882    14.826    16.023    14.297    13.275    14.342    13.851    15.813  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000     0.000    18.491    19.622    16.143    12.624    65.112  3663.194  4419.364  3014.842  2145.807 12893.340   190.000    77.500  5155.467    12.384     2.324    13.064     1.201   147.000 26958.732  2400.269  3106.194   124.819     4.311   -37.769     0.149     0.116     0.157     0.193    -0.488     0.125  -999.000     0.160     0.168  -999.000    -0.382     2.060    -1.440     0.939     9.085     7.895    19.000     3.000     8.000    -0.813    -0.088    -0.021     0.119    -0.273     0.194    -0.270    -0.276    -0.142    -0.361    -0.627    -0.387    21.540    23.169    18.550    13.704    -0.017     1.090     0.945    -0.138     0.471     0.119    -0.088    -0.344     0.513    -0.194     2.000     0.000     0.000   291.000    -0.400  -999.000     0.198    -1.050     1.130    -5.680  -999.000   840.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
    195205     1.249     1.542     1.542     0.000     0.000     0.000     0.000     0.000     0.000     0.074     0.000    14.774    18.543    18.543     0.000     0.000     0.000     0.000     0.000     0.000     0.739     0.000    17.785    17.792    17.792    18.709    18.703    17.692    17.021    15.663    15.163  -999.000    19.757    19.640    19.768    19.768  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000    17.500  -999.000     0.000    15.878    18.748    17.277    14.655    64.882  2789.606  2987.319  1794.029  1561.317  8893.663   100.000    72.500  5325.000    11.033     1.862    12.572     1.893   151.500 27408.420  2417.297  3177.582    92.703    -6.340   -35.454    -0.446     0.092    -0.287     0.309     0.154    -0.243  -999.000    -0.471    -0.058  -999.000     0.234     2.546     1.813     1.914    10.628    11.828    31.000     0.000     0.000    -0.650    -0.268    -0.138     0.088    -0.477    -0.024    -0.250    -0.341    -0.258    -0.283    -0.657     0.050    19.405    21.878    18.694    13.798     0.025     1.401     1.331    -0.126     0.544     0.088    -0.268    -0.456     0.238     0.158     5.000     0.000     0.000   234.000     1.200  -999.000    -0.307    -1.000     2.090    -4.760  -999.000   809.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
    195206    33.632     7.941    21.618     0.000     8.007     4.555     8.443     4.439     0.000    14.040    12.840   709.683   224.285   481.374     0.000   184.578    75.841   170.266    71.652     0.000   266.215   264.246    25.812    26.871    25.542    29.565    24.472    28.443    27.979    19.956    20.792    24.608    26.469    30.641    31.147    30.736  -999.000    28.533    32.600    33.942    25.358  -999.000    30.358    30.852   128.312    17.116    19.019    16.913    14.160    65.479  1788.676  2829.662  2505.733  1747.744  8660.078   170.000    50.000  5460.900     9.093     3.155     8.185     1.741   162.000 27585.336  2484.774  3347.324    46.773    -0.940   -30.718    -0.377     0.195    -0.188     0.408    -0.075     0.223  -999.000    -0.684    -0.160  -999.000    -0.907     1.076     1.046     1.589    11.104    12.648    25.000     0.000     5.000    -0.651    -0.668    -0.348    -0.320    -0.488    -0.217     0.052    -0.649    -0.536    -0.020    -0.471    -0.920    12.823    10.812    20.194    18.054     0.202     0.163     1.055     0.137     0.304    -0.052    -0.540    -0.623    -0.009    -0.184  -999.000     4.000     1.000   364.000     1.200  -999.000    -0.722    -1.430     3.270    -6.000  -999.000   848.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
    195207    38.903     6.862    28.414     0.000     4.061     6.455    13.673     6.902     0.000    21.976    10.717  1070.779   196.210   883.172     0.000    78.627   117.581   490.440   171.569     0.000   697.004   199.057    30.367    28.997    29.499    34.869  -999.000    31.432    32.496    25.863    33.166    29.614    31.673    36.111    34.694    37.517  -999.000    28.566    33.022    41.221    35.944  -999.000    38.734    33.994   149.231    13.732    14.694    13.804    11.882    52.811  1300.360  1571.823  2352.060  1598.319  6671.462   125.000    80.000  5448.581     7.472     3.123     6.249     2.634   141.000 28643.129  2513.228  3457.208    26.802     3.508   -16.981     0.049    -0.434    -0.121     0.133     0.061    -0.103  -999.000     0.125     0.112  -999.000    -0.885     0.442     0.790     1.901    11.285    13.354    24.000     1.000     6.000    -1.058    -0.772    -0.545    -0.502    -0.693    -0.334    -0.128    -0.777    -0.712    -0.231    -0.447     1.319     6.979     4.101    20.264    15.930     0.175     0.579     1.030    -0.148     0.230    -0.193    -0.572    -0.754    -0.098     0.386  -999.000     3.000     2.000   393.000     0.800  -999.000    -0.307    -1.250     2.360    -7.600  -999.000   888.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
    195208    34.494     4.890    24.144     0.000     5.501     4.844    11.965     6.397     0.000    19.531    10.563   793.157   122.720   632.273     0.000    70.810    89.418   347.874   140.707     0.000   515.170   162.602    28.686    29.518    30.742    29.969    29.288    24.681    31.335    31.351    29.139    31.117    26.221    33.534    34.380    36.847  -999.000    32.751    28.137    38.270    37.634  -999.000    37.701    29.637   127.047    14.493    14.906    15.252    15.293    58.429  1656.299  1793.503  2667.046  2602.371  8513.809    10.000    77.500  5377.516    10.206     1.685     8.361     1.933   108.000 28561.484  2513.467  3431.157    19.146    -0.728   -14.927    -0.132     0.139    -0.502     0.073     0.584     0.265  -999.000     0.028     0.168     0.085     0.212     0.808    -1.436     0.695    11.066    13.128    30.000     0.000     1.000    -1.037    -0.637    -0.614    -0.427    -0.874    -0.327     0.243    -0.806    -0.673    -0.245    -0.445     0.481     3.603     2.574    22.602    16.930     0.218     1.137     0.538     0.220     0.139    -0.172    -0.466    -0.757    -0.215     0.647  -999.000     5.000     1.000   549.000     0.100  -999.000    -0.358    -0.600     2.040    -8.150  -999.000   933.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
